system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
autoware,rslidar_pointcloud,rslidar_point,rslidar_pointcloud::CloudNodelet::onInit,63.29287110012956,False,,4,5,3,1,3,3
autoware,rslidar_pointcloud,rscloud_node,main,58.72229869989678,False,,3,3,2,1,2,1
autoware,hokuyo,hokuyo_3d,main,44.01325409999117,True,static recovery process failed,,,,,,
autoware,velodyne_laserscan,velodyne_laserscan,velodyne_laserscan::LaserScanNodelet::onInit,42.68195870006457,True,static recovery process failed,,,,,,
autoware,velodyne_laserscan,velodyne_laserscan_node,main,39.95832740003243,False,,5,5,3,2,4,2
autoware,velodyne_driver,velodyne_node,main,56.00633920007385,True,static recovery process failed,,,,,,
autoware,velodyne_driver,driver_nodelet,velodyne_driver::DriverNodelet::onInit,59.05367879988626,True,static recovery process failed,,,,,,
autoware,velodyne_pointcloud,cloud_node,main,75.08204030012712,True,static recovery process failed,,,,,,
autoware,velodyne_pointcloud,ringcolors_node,main,75.28817960014567,True,static recovery process failed,,,,,,
autoware,velodyne_pointcloud,transform_node,main,110.8070515000727,True,static recovery process failed,,,,,,
autoware,vectacam,vectacam_node,main,39.72747869999148,True,static recovery process failed,,,,,,
autoware,hexacam,hexacam_node,main,34.718219599919394,False,,2,6,3,0,0,0
autoware,pointgrey,grasshopper3_camera,main,31.779973400058225,False,,3,7,1,0,1,0
autoware,pointgrey,ladybug_camera,main,33.43305340013467,False,,2,3,1,0,1,0
autoware,baumer,vlg22c_cam_node,main,29.76517519983463,True,static recovery process failed,,,,,,
autoware,points2polygon,points2polygon,main,57.06448439997621,False,,1,6,3,0,0,0
autoware,points_preprocessor,space_filter,main,40.530069099972025,False,,2,11,3,1,0,0
autoware,points_preprocessor,ring_ground_filter,main,41.91118900012225,False,,2,14,4,3,0,0
autoware,points_preprocessor,ray_ground_filter,main,58.04242970002815,False,,1,1,1,0,0,0
autoware,points_preprocessor,points_concat_filter,main,61.294939199928194,False,,2,5,2,0,0,0
autoware,points_preprocessor,cloud_transformer,main,57.35363590018824,False,,2,7,3,2,0,0
autoware,points_preprocessor,compare_map_filter,main,58.25542870000936,False,,2,10,6,0,0,0
autoware,points_downsampler,voxel_grid_filter,main,47.556680700043216,False,,1,7,5,1,0,0
autoware,points_downsampler,ring_filter,main,47.15787329990417,False,,1,7,5,1,0,0
autoware,points_downsampler,distance_filter,main,47.38305839989334,False,,1,7,5,1,0,0
autoware,points_downsampler,random_filter,main,44.71159729990177,False,,1,7,5,1,0,0
autoware,image_processor,image_rotator,main,31.657915099989623,False,,2,8,3,1,0,0
autoware,image_processor,image_rectifier,main,33.04031979991123,False,,2,7,4,2,0,0
autoware,sync,sync_drivers,main,34.736339800059795,False,,1,1,1,0,0,0
autoware,sync,sync_range_fusion,main,29.85692370007746,False,,1,1,1,0,0,0
autoware,sync,sync_track,main,29.821075699990615,False,,1,1,1,0,0,0
autoware,sync,sync_obj_reproj,main,28.61764970002696,False,,1,1,1,0,0,0
autoware,sync,sync_obj_fusion,main,29.11958649987355,False,,1,1,1,0,0,0
autoware,sync,time_monitor,main,31.977969400119036,False,,1,1,1,0,0,0
autoware,catvehicle,distanceEstimator,main,29.45570409996435,False,,1,9,4,3,0,0
autoware,point_cloud_converter,point_cloud_converter_node,main,40.829913599882275,False,,2,6,5,4,0,0
autoware,laser_scan_converter,laser_scan_converter_node,main,34.837073099799454,False,,2,4,3,2,0,0
autoware,twist_cmd_converter,twist_cmd_converter_node,main,31.538585299858823,False,,2,4,3,2,0,0
autoware,sample_data,sample_vector_map,main,30.99948550015688,False,,1,2,2,0,0,0
autoware,sample_data,sample_points_map,main,40.051331100054085,False,,1,2,2,0,0,0
autoware,sample_data,sample_points_map_update,main,40.584753799950704,False,,1,3,3,0,0,0
autoware,sample_data,sample_trajectory,main,30.23373550013639,False,,1,2,2,0,0,0
autoware,sample_data,sample_mobility,main,29.899731899844483,False,,1,3,3,0,0,0
autoware,fake_drivers,fake_camera,main,30.344861399848014,False,,1,3,2,0,0,0
autoware,autoware_bag_tools,nmea2kml,main,32.99966470012441,False,,1,1,1,0,0,0
autoware,data_preprocessor,get_Image,main,33.90073450002819,False,,2,2,2,1,1,2
autoware,data_preprocessor,get_PCD,main,40.43937680008821,False,,2,2,2,1,1,2
autoware,data_preprocessor,get_Depth,main,41.96369619993493,False,,2,3,3,2,1,3
autoware,model_publisher,model_publisher,main,31.112060699844733,False,,1,11,2,1,0,0
autoware,map_tf_generator,map_tf_generator,main,39.93750340002589,False,,1,2,2,0,0,0
autoware,kitti_player,kitti_player,main,41.73510389984585,False,,1,6,6,0,0,0
autoware,map_tools,pcd_filter,main,42.702394200023264,False,,1,0,0,0,0,0
autoware,map_tools,pcd_binarizer,main,38.20906649995595,False,,1,0,0,0,0,0
autoware,map_tools,pcd_arealist,main,36.57723719999194,False,,1,0,0,0,0,0
autoware,map_tools,csv2pcd,main,38.459890000056475,False,,1,0,0,0,0,0
autoware,map_tools,pcd2csv,main,36.17547019990161,False,,1,0,0,0,0,0
autoware,map_tools,map_extender,main,62.378660400165245,False,,1,4,4,0,0,0
autoware,map_tools,pcd_grid_divider,main,35.98534690006636,False,,1,0,0,0,0,0
autoware,diag_lib,watchdog_node,main,68.55694840010256,True,static recovery process failed,,,,,,
autoware,fake_autoware_nodes,fake_publisher_node,main,37.38592979987152,True,static recovery process failed,,,,,,
autoware,fake_autoware_nodes,fake_subscriber_node,main,38.32251890003681,True,static recovery process failed,,,,,,
autoware,oculus_socket,oculus_sender,main,39.89572599995881,False,,1,4,4,0,0,0
