system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
autoware,sick_ldmrs_tools,sick_ldmrs_filter_last,main,57.31631371,FALSE,,1,3,3,0,0,0
autoware,sick_ldmrs_tools,sick_ldmrs_all_layer_assembler,main,77.49374364,TRUE,static recovery process failed,,,,,,
autoware,sick_ldmrs_tools,sick_ldmrs_make_organized,main,56.76811529,FALSE,,1,6,3,0,0,0
autoware,sick_ldmrs_tools,sick_ldmrs_remove_background,main,57.3603947,FALSE,,1,5,4,0,0,0
autoware,sick_ldmrs_tools,sick_ldmrs_print_resolution,main,55.10424927,FALSE,,1,2,2,0,0,0
autoware,lms5xx,lms511_node,main,53.49407388,FALSE,,1,6,2,0,0,0
autoware,ouster,ouster_ros,main,88.28001286,TRUE,,,,,,,
autoware,rslidar_driver,rslidar_driver,rslidar_driver::DriverNodelet::onInit,116.2278241,FALSE,,4,12,3,1,3,3
autoware,rslidar_driver,rslidar_node,main,80.77630348,FALSE,,3,3,2,1,2,1
autoware,rslidar_pointcloud,rslidar_point,rslidar_pointcloud::CloudNodelet::onInit,74.53127954,FALSE,,4,5,3,1,3,3
autoware,rslidar_pointcloud,rscloud_node,main,76.35388337,FALSE,,3,3,2,1,2,1
autoware,hokuyo,hokuyo_3d,main,56.57629825,FALSE,,2,11,4,0,0,0
autoware,velodyne_laserscan,velodyne_laserscan,velodyne_laserscan::LaserScanNodelet::onInit,51.30227586,FALSE,,7,6,4,3,6,4
autoware,velodyne_laserscan,velodyne_laserscan_node,main,38.70965872,FALSE,,5,5,3,2,4,2
autoware,velodyne_driver,velodyne_node,main,76.8161472,FALSE,,4,12,3,1,2,1
autoware,velodyne_driver,driver_nodelet,velodyne_driver::DriverNodelet::onInit,74.19599329,FALSE,,4,10,2,1,3,2
autoware,velodyne_pointcloud,cloud_node,main,110.0898834,FALSE,,4,6,4,1,2,1
autoware,velodyne_pointcloud,ringcolors_node,main,104.2999926,FALSE,,2,4,3,0,0,0
autoware,velodyne_pointcloud,transform_node,main,187.5583,TRUE,static recovery process failed,,,,,,
autoware,vectacam,vectacam_node,main,47.96873569,FALSE,,2,6,3,1,0,0
autoware,hexacam,hexacam_node,main,39.68821614,FALSE,,2,6,3,0,0,0
autoware,pointgrey,grasshopper3_camera,main,36.49240415,FALSE,,3,7,1,0,1,0
